0.25.3,Thu Jul 16 18:20:38 2026,,,,,,,,,,,,,
id,class,name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_barrel_deviation,fire_rate,price
,,diemaco_c7_ambi_charging_handle,Diemaco C7 Ambi,3,0.04,,,,,,,,,400
,,hera_arms_straight_pull_charging_handle,Eris Arms Straight Pull,5,0.11,,,,,,,,,750
,,ardian_weapons_raptor_ambi_ar15_charging_handle,Ardian Weapons Raptor Ambidextrous,5,0.08,,,,,,,,,750
,,tc_enforcer_small_charging_handle,Lumber River Enforcer Small,3,0.03,,,,,,,,,300
,,tc_enforcer_charging_handle,Lumber River Enforcer,3.5,0.05,,,,,,,,,300
,,tactispec_victory_charging_handle,Tactispec Victory,4,0.06,,,,,,,,,500
,,hart_m4a1_charging_handle,Hart M4 Standard,2,0.03,,,,,,,,,0
,,nowa_love_ar15_charging_handle,Nowa Love AR-15,4,0.05,,,,,,,,,650
,,kf_416_e1_ambi_charging_handle,KF416 E1 Ambi,3,0.04,,,,,,,,,500
,ar15_endplate,,,,,,,,,,,,,
,,hart_m4a1_receiver_endplate,Hart M4A1 Receiver Endplate,0,0.01,,,,,,,,,0
,,thorsden_frs15_gen3_ar15_endplate,Thorsden FRS-15 Gen3 AR-15 Endplate,2,0.06,9,9,,0.55,,,,,600
,,aeroknox_ax15_endplate,Arrow AX // 15 AR-15 Receiver Endplate,0,0.01,,,,,,,,,0
,,hart_607_car15_buffer_tube,Hart 607 CAR-15,-2,0.13,-1,-1,,,,,,,500
,,hart_607_car15_stock,Hart 607 CAR-15,16,0.23,-8,-14,,,,,,,500
,,troy_m7a1_pdw_base_stock,Troy M7A1 PDW Base,-2,0.12,0,0,,,,,,,1000
,ar15_pistol_grip,,,,,,,,,,,,,
,,timber_creek_enforcer_pistol_grip,Lumber River Enforcer,4,0.07,-1,-7,,,,,,,900
,,tactical_dynamics_anodized_skeletonized_ar15_pistol_grip,Tactical Dynamics Anodized Skeletonized AR-15,3,0.04,-3,-5,,,,,,,700
,,behemoth_tacticals_featureless_grip,Behemoth tacticals featureless,0,0.05,-6,-2,,,,,,,700
,,hera_arms_cqr_gen1_pistol_grip_stock,CQR PGS,10,0.45,-13,-18,,,,,,,2000
,,gral_s_pistol_grip,Gral-S,3,0.07,-4,-5,,,,,,,500
,,fit_deluxe_ar15_suregrip,FIT Deluxe AR-15 Suregrip,7,0.08,-1,0,,,,,,,1500
,,fit_deluxe_suregrip_palm_shelf,FIT Deluxe Suregrip,3,0.06,0,0,,,,,,,200
,,pmm_scar_modified_grip_rogue,Everetts Machining SCAR Modified Rogue Non-Beavertail,6,0.08,-2,-6,,,,,,,600
,,mcs_premier_avp_grip,MCS Premier AVP,9,0.06,0,-1,,,,,,,700
,,kf_ar15_battlegrip,KF AR-15 Battlegrip,5,0.08,-5,-4,,,,,,,800
,,kf_ar15_battlegrip_beavertail,KF AR-15 Battlegrip Beavertail,6,0.09,-4,-4,,,,,,,800
,,hart_a2_pistol_grip,Hart A2,6,0.08,-3,-3,,,,,,,0
,,hart_a1_pistol_grip,Hart A1,5,0.07,-3,-4,,,,,,,500
,,hart_a1_chopped_pistol_grip,Hart A1 Chopped,3,0.04,-2,-3,,,,,,,550
,,thordsen_frs_15_stock,Thordsen FRS-15,14,0.26,-6,-8,,,,,,,1500
,,magtap_moe_ar15_pistol_grip,Magtap MOE AR-15,7,0.1,-3,-4,,,,,,,800
,,magtap_moe_k2_ar15_pistol_grip,Magtap MOE-K2,7,0.1,-4,-3,,,,,,,800
,,magtap_moe_k2_scar_pistol_grip,Magtap MOE-K2 Modified,7,0.11,-4,-3,,,,,,,800
,,magtap_moe_scar_pistol_grip,Magtap MOE AR-15,7,0.11,-3,-4,,,,,,,800
,,hera_arms_cqr_gen2_pistol_grip,Eris Arms CQR Gen2,3,0.14,-1,-6,,,,,,,1200
,,aeroknox_ax15_orion_pistol_grip,Arrow AX // 15 ORION AR-15,9,0.09,-2,-1,,,,,,,1000
,,bcm_gunfighter_mod3_ar15_pistol_grip,BCM Gunfighter Mod 3 AR-15,8,0.09,-3,-2,,,,,,,750
,,pmm_bcm_gunfighter_mod3_scar_pistol_grip,Everetts Machining BCM Gunfighter Mod 3 SCAR,8,0.1,-3,-2,,,,,,,800
,,axtell_defense_pistol_grip_with_trigger_guard,Axtell Defense w/ Trigger Guard,10,0.13,-2,-4,,,,,,,900
,ar15_trigger,,,,,,,,,,,,,
,,hart_m4a1_std_trigger,M4 Standard,2,0.04,0,0,,0,,,,,0
,,fort_worth_manufacturing_trigger,Fort Worth Manufacturing Triggers drop-in,3,0.03,-1,0,,-0.05,,,,0.03,300
,,tsa_custom_trigger,TSA custom,3.5,0.04,0,-1,,-0.05,,,,0.03,400
,,rise_blitz_trigger,Ascend Armament Blitz,4,0.05,-1,0,,-0.1,,,,0.05,1000
,,lockwood_trigger,Lockwood drop-in,2.5,0.02,0,-1,,-0.15,,,,0.03,400
,,ardian_weapons_ar15_flat_vertex_fb_trigger,Ardian Weapons AR-15 Flat Vertex-FB,3,0.06,-1,-1,,-0.1,,,,0,750
,scr_trigger,,,,,,,,,,,,,
,,strikon_scr_ar15_trigger,STRIKON SCR Rifle,0,0.06,-2,-2,,,,,,,250
,,strikon_scr_ar15_frt_trigger,STRIKON SCR Rifle Forced-Reset,2,0.06,0,0,,0.15,,,,,2250
,ar15_trigger_guard,,,,,,,,,,,,,
,,magtap_enhanced_ar15_mag1186_polymer_trigger_guard,Magtap Enhanced AR-15 MAG1186 Polymer,2,0.02,,,,,,,,,200
,,troy_enhanced_ar15_trigger_guard,Troy Enhanced AR-15,2.5,0.04,,,,,,,,,200
,,hart_m4a1_trigger_guard,Hart M4 standard,2,0.02,,,,,,,,,0
,,smite_industries_polyflex_ar15_trigger_guard,Smite Industries PolyFlex AR-15,3,0.08,,,,,,,,,400
,m4a1_upper_receiver,,,,,,,,,,,,,
,,hart_m4a1_std_upper_receiver,Hart M4 Standard,0,0.2,0,0,,,,,,,0
,,aeroknox_ax15_upper_receiver,Arrow AX // 15 AR-15,0,0.13,0,-1,,,,,,,1000
,,hart_m16a2_carry_handle_upper_receiver,Hart M16A2 Carry Handle,6,0.32,0,0,,,,,,,750
,,lone_star_armory_tx15_light_ar15_upper_receiver,Lone Star Armory TX-15 Light AR-15,2,0.16,0,1,,,,,,,3000
,,lone_star_armory_tx15_regular_ar15_upper_receiver,Lone Star Armory TX-15 Regular AR-15,5,0.3,1,1,,-0.1,,,,,3500
,,nowa_gen3_ar15_upper_receiver,Nowa N4 Gen3 AR-15,3,0.27,-1,0,,,,,,,3000
,,nowa_marked_vyctor_mur1s_ar15_upper_receiver,Nowa Marked VYCTOR MUR1S AR-15,2,0.26,-1,-1,,,,,,,2500
,,vyctor_mur1s_ar15_upper_receiver,VYCTOR MUR1S AR-15,1,0.25,-1,-2,,,,,,,2000
,,ardian_weapons_ar15_model_1_m1curgh_upper_receiver,Ardian Weapons AR-15 Model 1 M1CURGH,4,0.34,-1,-1,,-0.05,,,,,4000
,,axtell_defense_ddm4v7_upper_receiver,Axtell Defense DDM4V7,1,0.23,-1,-1,,,,,,,1000
,,axtell_defense_m4a1_upper_receiver,Axtell Defense M4A1,0,0.24,-2,-2,,,,,,,1500
,,axtell_defense_mk12_upper_receiver,Axtell Defense MK12,4,0.25,1,2,,-0.1,,100,,,2000
,,axtell_defense_mk18_upper_receiver,Axtell Defense MK18,3,0.23,0,-1,,0.15,,-100,,,2500
,m4a1_bolt_catch,,,,,,,,,,,,,
,,m4a1_std_bolt_catch,Hart M4 Standard,0,0.01,,,,,,,,,0
,,ardian_weapons_ar15_extended_bolt_catch,Ardian Weapons AR-15 Extended,1,0.03,,,,,,,,,300
,m4a1_dust_cover,,,,,,,,,,,,,
,,m4a1_std_dust_cover,Hart M4 Standard,1,0.04,,,,,,,,,0
,m4a1_fire_selector,,,,,,,,,,,,,
,,m4a1_std_fire_selector,Hart M4 Standard,0,0.01,,,,,,,,,0
,,strikon_scr_ar15_safety,STRIKON SCR Rifle,1,0.03,,,,,,,,,0
,,ardian_weapons_ar15_talon_ambi_2lever_fire_selector,Ardian Weapons AR-15 Talon Ambi 45/90 2-Lever,2,0.03,,,,,,,,,500
,m4a1_lower_receiver,,,,,,,,,,,,,
,,hart_m4a1_std_lower_receiver,Hart M4A1,0,0.3,,,,,,,,,0
,,strikon_scr_rifle_lower_receiver,STRIKON SCR Rifle,6,0.26,-6,12,,,,,,,3000
,,ardian_weapons_ax556_adac15_lower_receiver,Ardian Weapons AX556 ADAC-15,6,0.42,-2,-3,,,,,,,4000
,,nowa_n4_gen3_ar15_lower_receiver,Nowa N4 Gen3 AR-15,5,0.35,-2,-1,,,,,,,2000
,,aeroknox_ax15_lower_receiver,Arrow AX // 15 AR-15,3,0.25,-1,0,,,,,,,1500
,,axtell_defense_m4_carbine_lower_receiver,Axtell Defense M4 Carbine,3,0.33,,,,,,,,,1000
,m4a1_mag_release,,,,,,,,,,,,,
,,m4a1_std_mag_release,Hart M4A1,0,0.01,,,,,,,,,0
,,ardian_weapons_adac15_mag_release,Ardian Weapons ADAC15 Mag Release,1,0.02,,,,,,,,,200
,m4a1_mag_well,,,,,,,,,,,,,
,,tactispec_rhino_r23_tactical_magwell,Tactispec Rhino R-23 Tactical,3,0.13,,,,,,,,,750
,,cosmotac_blastar_vkarmw_magwell,CosmoTac BlastAR VKARMW,1,0.07,-1,-1,,,,,,,500
,,hpf_concepts_rcm_ar15_milspec_magwell,HPF Concepts RCM AR-15 Milspec,2,0.05,,,,,,,,,250
,m4a1_bolt,,,,,,,,,,,,,
,,m4a1_556_bolt,Hart M4 Standard,0,0.1,0,0,,,,,,,0
,,strikon_scr_rifle_bcg,STRIKON SCR Rifle BCG,3,0.07,2,5,,,,,,,750
,,ews_bufferless_system_ar15_bcg,EWS Bufferless System AR-15 BCG,4,0.08,4,4,,,,,,,500
,,ardian_weapons_ar15_enhanced_bcg,Ardian Weapons AR-15 Enhanced BCG,2,0.16,0,0,,,,,,,1000
,,troy_m7a1_pdw_ar15_bcg,Troy M7A1 PDW AR-15 BCG,1,0.11,0,1,,,,,,,300
,m4a1_5.56x45_barrel,,,,,,,,,,,,,
,,cmmg_ar_15_5.56x45_610mm_fluted_r_barrel,"CmmG 24"" Fluted AR-15 Rifle Length Gastube 5.56x45",-12,0.97,-16,-16,,-0.32,0.3,262,,-0.06,5000
,,whtnls_a1_m4a1_5.56x45_508mm_govt_r_barrel,"Whitnalls A1 Government 20"" Rifle Length Gastube 5.56x45",-9,0.84,-10,-10,,-0.24,0.21,179,,-0.06,1600
,,whtnls_m4a1_5.56x45_508mm_hbar_r_barrel,"Whitnalls HBAR 20"" Rifle Length Gastube 5.56x45",-10,0.94,-12,-12,,-0.22,0.21,191,,-0.06,2000
,,ex_call_ar_15_.223wylde_457mm_spiral_6groove_m_barrel,"Ex-Call Custom 18"" Spiral 6 Groove Mid Length Gastube .223 Wylde",-7,0.72,-9,-9,,-0.13,0.15,131,,-0.03,1800
,,whtnls_m4a1_5.56x45_406mm_govt_m_barrel,"Whitnalls Government 16"" Mid Length Gastube 5.56x45",-4,0.68,-7,-7,,-0.05,0.08,108,,-0.03,1100
,,whtnls_m4a1_5.56x45_406mm_socom_c_barrel,"Whitnalls Socom 16"" Carbine Length Gastube 5.56x45",-3,0.71,-6,-6,,-0.07,0.1,78,,,1200
,,hart_m4a1_5.56x45_368mm_socom_c_barrel,"Hart Socom 14.5"" Carbine Length Gastube 5.56x45",-1,0.65,-5,-5,,-0.02,0.04,45,,,800
,,hart_m4a1_5.56x45_368mm_govt_c_barrel,"Hart Government 14.5"" Carbine Length Gastube 5.56x45",0,0.61,-4,-4,,0,0.02,33,,,0
,,pac_ks1_5.56x45_348mm_heavy_dimpled_m_barrel,"PAC KS-1 (L403A1) Heavy Dimpled 13.7"" Mid Length Gastube 5.56x45",1,0.61,-4,-4,,0.04,0.01,37,,-0.03,2000
,,hart_m4a1_5.56x45_317mm_govt_c_barrel,"Hart Government 12.5"" Carbine Length Gastube 5.56x45",1,0.54,-3,-3,,0.09,-0.02,-34,,,1200
,,primabarrels_ar15_modern_series_5.56x45_292mm_govt_c_barrel,"PrimaBarrels Modern Series Government 11.5"" Carbine Length Gastube 5.56x45",2,0.5,-2,-3,,0.13,-0.05,-72,,,1100
,,hart_m4a1_5.56x45_267mm_govt_c_barrel,"Hart Government 10.5"" Carbine Length Gastube 5.56x45",3,0.47,-2,-1,,0.17,-0.08,-113,,,1200
,,hart_m4a1_5.56x45_190mm_govt_p_barrel,"Hart Government 7.5"" Pistol Length Gastube 5.56x45",4,0.35,-1,0,,0.3,-0.13,-266,,0.03,1300
,,quix_tacticals_ar15_127mm_5.56_nitride_barrel_custom_gastube,"Quix Tacticals AR-15 Nitride 5"" Custom Length Gastube 5.56x45",5,0.24,0,1,,0.4,-0.18,-450,,0.063,1400
,,custom_2inch_ar15_barrel,"Custom 2"" AR-15 5.56x45",6,0.12,5,5,,5,-0.4,-866,,0.125,2000
,m4_gasblock_mount,,,,,,,,,,,,,
,,target_sports_mt026_mount,Target Sports MT026 Tri-Rail,-3,0.1,,,,,,,,,400
,,diemaco_tri_ad_i_mount,Diemaco TRI-AD I,-1,0.06,,,,,,,,,600
,,hart_m4a1_front_side_sling_swivel,Hart Front Side Sling Swivel,2,0.05,,,,,,,,,300
,,fit_m4_forward_picatinny_rail,FIT M4 Forward Picatinny,-5,0.21,-2,-2,,0.05,,,,,800
,windham_weaponry_mount,,,,,,,,,,,,,
,,windsor_armory_sling_swivel,Windsor Armory Sling,1,0.03,,,,,,,,,100
,ar_mag_assists,,,,,,,,,,,,,
,,magtap_223_mag_assist_misc2,Magtap 223,1,0.04,,,,,,,,,200
,,magtap_223_mag_assist_misc1,Magtap 223,1,0.04,,,,,,,,,200
,,magtap_223_mag_assist_misc3,Magtap 223,1,0.04,,,,,,,,,200
,,magtap_223_mag_assist_pmag,Magtap 223,1,0.04,,,,,,,,,200
,,magtap_223_mag_assist_straightstanag,Magtap 223,1,0.04,,,,,,,,,200
,ar_bolt,,,,,,,,,,,,,
,,ar_bolt,M4 Bolt,,,,,,,,,,,0
,ar15_plastic_handguard_bottom_mount,,,,,,,,,,,,,
,,pro_tactical_upr_16_4_bottom,P.R.O Tactical UPR 16/4 Picatinny Rail,-3,0.06,2,2,,,,,,,400
,,cosmotac_marsv2_bottom,CosmoTac MARSV2 Picatinny Rail,-2,0.07,1,5,,,,,,,300
,ar15_plastic_handguard_top_mount,,,,,,,,,,,,,
,,pro_tactical_upr_16_4_top,P.R.O Tactical UPR 16/4 Picatinny Rail,-3,0.06,,,,,,,,,400
,,cosmotac_marsv2_top,CosmoTac MARSV2 Picatinny Rail,-2,0.07,,,,,,,,,300
,mk9_upper_receiver,,,,,,,,,,,,,
,,cmmg_mk9_upper_receiver,CmmG MK9,0,0.14,0,0,,,,,,,0
,mk9_lower_receiver,,,,,,,,,,,,,
,,cmmg_mk9_lower_receiver,CmmG MK9,1,0.26,,,,,,,,,0
,,aeroknox_ax15_lower_receiver_ar9,Arrow AX // 15 AR-15,3,0.25,-1,0,,,,,,,1500
,,hart_m4a1_std_lower_receiver_ar9,Hart M4A1,0,0.3,,,,,,,,,0
,,axtell_defense_m4_carbine_lower_receiver_ar9,Axtell Defense M4 Carbine,3,0.33,,,,,,,,,1000
,,nowa_n4_gen3_ar15_lower_receiver_ar9,Nowa N4 Gen3 AR-15,5,0.35,-2,-1,,,,,,,2000
,mk9_dust_cover,,,,,,,,,,,,,
,,cmmg_mk9_dust_cover,CmmG MK9,1,0.03,0,0,,,,,,,0
,ar9_bolt,,,,,,,,,,,,,
,,ar9_bolt,CmmG MK9,0,0.07,,,,,,,,,0
,mk9_barrel,,,,,,,,,,,,,
,,bnb_value_line_light_tapered_melonite_ar9_76mm_9x19_barrel,"KAK Value Line Light Tapered Melonite AR9 3"" 9x19",9,0.14,8,8,,0.25,-0.15,-300,,,750
,,cmmg_mk9_216mm_9x19_barrel,"CmmG Mk9 8.5"" 9x19",3,0.3,3,2,,0.07,0.03,-90,,,900
,,cmmg_mk9_229mm_9x19_barrel,"CmmG Mk9 9"" 9x19",2,0.31,2,2,,0.05,0.04,-70,,,950
,,cmmg_mk9_406mm_9x19_c_barrel,"CmmG Mk9 16"" 9x19 Carbine Length",-3,0.51,-2,-2,,0,0.09,200,,,0
,,cmmg_mk9_406mm_9x19_r_barrel,"CmmG Mk9 16"" 9x19 Rifle Length",-5,0.53,-4,-4,,0,0.09,200,,,1200
,,cmmg_mk9_406mm_9x19_m_barrel,"CmmG Mk9 16"" 9x19 Mid Length",-4,0.52,-3,-3,,0,0.09,200,,,1200
,,cmmg_mk9_127mm_9x19_barrel,"CmmG Mk9 5"" 9x19",7,0.2,6,6,,0.2,0,-225,,,800
,fn_rear_sight,,,,,,,,,,,,,
,,aft_rear_sight,AFT Standard,1,0.01,,,,,,,,,0
,,aft_rear_sight_folded,AFT Standard Folded,1,0.01,,,,,,,,,0
,fn_scar_rear_sight_apertures,,,,,,,,,,,,,
,,aft_rear_sight_600m_aperture,AFT 600m Aperture,0,0.005,,,,,,,,,0
,,aft_rear_sight_200m_aperture,AFT 200m Aperture,0,0.005,,,,,,,,,0
,fn_scar_h_gasblock,,,,,,,,,,,,,
,,aft_mk20_gas_block,AFT Mk20,3,0.15,2,2,,-0.05,,100,,,1000
,,aft_mk_17_gasblock,AFT MK-17 Standard,0,0.12,0,0,,,,,,,0
,,hi_dog_hdd_tactical_scarh_hitorque_gasblock,Hi-Dog HDD Tactical SCAR-H HI-TORQUE,2,0.16,-1,0,,,,,,,400
,fn_front_sight_base,,,,,,,,,,,,,
,,aft_front_sight_base,AFT Standard,0,0.01,,,,,,,,,0
,,dynamic_development_group_scar_fs_replacement_rail,Dynamic Development Group SCAR Front Sight Replacement Rail,0,0.02,,,,,,,,,
,fn_front_sight,,,,,,,,,,,,,
,,aft_front_sight_folded,AFT Standard Folded,1,0.01,,,,,,,,,0
,,aft_front_sight,AFT Standard,1,0.01,,,,,,,,,0
,fn_scar_bolt_release,,,,,,,,,,,,,
,,aft_bolt_release,AFT MK-17 Standard,0,0.03,,,,,,,,,
,,pmm_scar_battery_control_bolt_release,Everetts Machining SCAR Battery Control,2,0.06,,,,,,,,,500
,fn_scar_trigger,,,,,,,,,,,,,
,,aft_trigger,AF Tournai Standard,0,0.03,,,,,,,,,0
,,schmidt_super_scar_trigger,Schmidt Super SCAR,2,0.05,,,,-0.05,,,,,750
,fn_scar_bottom_rail_mount,,,,,,,,,,,,,
,,aft_mk20_bottom_rail_mount,AF Tournai Mk20,4,0.15,,,,,,,,,400
,,aft_bottom_rail_mount,AF Tournai,2.5,0.1,,,,,,,,,0
,,pmm_scar_heavy_duty_mlok_bottom_panel,Everetts Machining SCAR Heavy Duty MLOK Bottom Panel,2,0.08,,,,,,,,,300
,fn_scar_charging_handle,,,,,,,,,,,,,
,,aft_charging_handle,AFT MK-16 Standard,1,0.02,,,,,,,,,0
,,apex_bolt_handle_for_scar,Apex Bolt Handle for SCAR,1.5,0.03,,,,,,,,,500
,,dynamic_development_group_ambi_scarging_handle,Dynamic Development Group Ambi SCARGING Bolt Handle,2,0.04,,,,,,,,,500
,fn_scar_fire_selector,,,,,,,,,,,,,
,,aft_fire_selector,AFT MK-17 Standard,0,0.02,,,,,,,,,0
,,dynamic_development_group_talon_ambi_scar_45_90_safety_selector,Dynamic Development Group Talon Ambi SCAR 45/90,1.5,0.02,,,,,,,,,300
,fn_scar_h_barrel,,,,,,,,,,,,,
,,aft_mk20_508mm_barrel,AFT Mk20 508mm,-4,1.01,2,2,,-0.3,0.09,308,,,1500
,,barreltech_scar20_spiral_508mm_threaded_barrel,"Barreltech AFT 20 Spiral 20"" Threaded",-7,0.94,-4,-2,,-0.15,0.07,358,,,2000
,,aft_mk_17_508mm_barrel,AFT MK-17 508mm,-5,0.96,-3,-3,,-0.1,0.06,208,,,1500
,,barreltech_scar20_spiral_406mm_threaded_barrel,"Barreltech AFT 20 Spiral 16"" Threaded",-1,0.79,-1,1,,-0.05,0.01,171,,,1500
,,aft_mk_17_406mm_barrel,AFT MK-17 406mm,0,0.81,0,0,,0,0,70,,,0
,,aft_mk_17_330mm_barrel,AFT MK-17 330mm,6,0.69,3,4,,0.1,-0.04,-57,,,1200
,,hi_dog_hdd_tactical_scarh_267mm_7.62x51_barrel,Hi-Dog HDD Tactical SCAR-H 7.62x51 267mm,12,0.6,7,7,,0.2,-0.07,-187,,0.05,1500
,fn_scar_h_bolt,,,,,,,,,,,,,
,,aft_mk_17_bolt_carrier,AFT MK-17 Bolt,0,0.2,,,,,,,,,0
,,monarch_ballistics_buffered_scar_bolt_carrier,Monarch Ballistics Buffered SCAR,-1,0.22,-2,-2,,,,,,,500
,fn_scar_h_lower_receiver,,,,,,,,,,,,,
,,cartesia_productions_scar_h_x17_trigger_module_lower_receiver,Cartesia Productions X-17 SCAR-H Trigger Module,2,0.34,,,,,,,,,
,,aft_mk_17_lower_receiver,AF Tournai-H Standard,0,0.35,,,,,,,,,0
,,lingle_industries_ar17_scar_h_lower,Lingle Industries AR17 SCAR-H Lower,3,0.37,,,,,,,,,2500
,lingle_mag_release,,,,,,,,,,,,,
,,m4a1_std_mag_release_scar,Hart M4A1,0,0.03,,,,,,,,,0
,fn_scar_h_upper_receiver,,,,,,,,,,,,,
,,aft_mk_17_upper_receiver,AFT MK-17 Standard,0,0.6,0,0,,,,,,,0
,,aft_mk20_upper_receiver,AFT Mk20,5,0.85,3,4,,,,,,,4000
,,monarch_ballistics_cypher_x_standard_scar_h_upper_receiver,Monarch Ballistics CypherX Standard SCAR-H,3,0.62,0,1,,,,,,,3000
,fn_scar_l_barrel,,,,,,,,,,,,,
,,aft_mk_16_254mm_barrel,AFT MK-16 254mm,2,0.47,1,1,,0.2,-0.08,-135,,,1200
,,aft_mk_16_355mm_barrel,AFT MK-16 355mm,0,0.6,0,0,,0.02,0.02,17,,,0
,,aft_mk_16_457mm_barrel,AFT MK-16 457mm,-5,0.73,-4,-4,,-0.15,0.16,131,,,1500
,fn_scar_l_bolt,,,,,,,,,,,,,
,,aft_mk_16_bolt_carrier,AFT MK-16 Bolt,2,0.1,,,,,,,,,0
,fn_scar_l_gasblock,,,,,,,,,,,,,
,,aft_mk_16_gasblock,AFT MK-16 Standard,0,0.1,0,0,,,,,,,0
,fn_scar_l_lower_receiver,,,,,,,,,,,,,
,,aft_mk_16_lower_receiver,AF Tournai-L Standard,0,0.3,,,,,,,,,0
,fn_scar_l_magplate,,,,,,,,,,,,,
,,aft_mk_16_std_magplate,AF Tournai Mag,0,0.02,,,,,,,,,0
,fn_scar_l_upper_receiver,,,,,,,,,,,,,
,,aft_mk_16_upper_receiver,AFT MK-16 Standard,0,0.5,,,,,,,,,0
,fn_scar_mag_release,,,,,,,,,,,,,
,,aft_mag_release,AFT MK-17 Standard,0,0.03,,,,,,,,,0
,,pmm_scar_oversized_mag_release_button,Everetts Machining SCAR Oversized Button,1,0.05,,,,,,,,,500
,fn_scar_side_rail_mount,,,,,,,,,,,,,
,,aft_side_rail_1,AF Tournai,-0.5,0.04,,,,,,,,,0
,,aft_mk20_side_rail_2,AF Tournai Mk20,-1,0.07,,,,,,,,,500
,,aft_mk20_side_rail_1,AF Tournai Mk20,-1,0.07,,,,,,,,,500
,,aft_side_rail_2,AF Tournai,-0.5,0.04,,,,,,,,,0
,fn_scar_stock_cheek_piece,,,,,,,,,,,,,
,,aft_stock_cheek_piece,AFT,3,0.16,,,,,,,,,0
,fn_scar_stock_connector,,,,,,,,,,,,,
,,aft_stock_connector,AFT,0,0.07,0,0,,,,,,,0
,,aft_ssr_stock_assembly,AFT SSR,18,0.51,-3,-4,,-0.05,,,,,600
,,dynamic_development_group_sas_acr_stock_scar_adapter,Dynamic Development Group SAS Adaptive ACR,-1,0.07,0,0,,,,,,,300
,,mesa_tactical_faro_scar_buffer_tube_adapter,Canyon Tactical FARO SCAR Buffer Tube,-5,0.14,0,0,,,,,,,450
,,aft_sc_stock_adapter,AFT SC Rear,1,0.08,0,0,,,,,,,1500
,scar_sc_stock,,,,,,,,,,,,,
,,aft_sc_stock_adjustment_lever,AFT SC Stock,2,0.02,,,,,,,,,
,,aft_sc_stock_cheekpad,AFT SC Stock,4,0.04,,,,,,,,,
,,aft_sc_stock_buttpad,AFT SC Stock,7,0.11,-7,-7,,,,,,,
,,aft_sc_stock_adjustment_rail,AFT SC,0,0.08,,,,,,,,,
,fn_scar_stock_shoulder_piece,,,,,,,,,,,,,
,,aft_stock_shoulder_piece,AFT,7,0.19,-9,-12,,,,,,,0
,scar47_barrel,,,,,,,,,,,,,
,,hilt_defense_scar47_394mm_barrel,HILT DEFENSE SCAR 47 394mm,0,0.77,0,0,,0,0,0,,,0
,scar47_lower_receiver,,,,,,,,,,,,,
,,scar47_lower_receiver,HILT DEFENSE SCAR 47,0,0.38,,,,,,,,,0
,scar47_mag_release,,,,,,,,,,,,,
,,scar47_mag_release,HILT DEFENSE SCAR 47,0,0.02,,,,,,,,,0
,scar47_pistol_grip,,,,,,,,,,,,,
,,scar47_pistol_grip,HILT DEFENSE SCAR 47,7,0.07,-2,-2,,,,,,,0
,scar47_upper_receiver,,,,,,,,,,,,,
,,aft_mk_17_upper_receiver_for_scar47,AFT MK-17 Standard,0,0.6,0,0,,,,,,,0
,,aft_mk20_upper_receiver_for_scar47,AFT Mk20,5,0.85,3,4,,,,,,,4000
,,monarch_ballistics_cypher_x_standard_scar_h_upper_receiver_for_scar47,Monarch Ballistics CypherX Standard SCAR-H,3,0.65,0,0,,,,,,,3000
,scar_handguard,,,,,,,,,,,,,
,,hilt_defense_scar47_mlok_handguard,Hilt Defense SCAR47 MLOK,2,0.22,-1,-4,,,,,,,1200
,,pmm_scar_mlok_xl_rail_extension_mre_xl,Everetts Machining SCAR MLOK XL Rail Extension (MRE XL),2,0.12,0,-1,,,,,,,900
,,madbull_pws_srx_5inch_rail_handguard,"Madbull PWS SRX 5""",1,0.15,-1,-2,,,,,,,800
,,dynamic_development_group_scar_mrex_mlok_6.5inch_gen1_handguard,"Dynamic Development Group SCAR MREX MLOK 6.5"" Gen 1",3,0.25,-3,-1,,,,,,,1750
,,northeast_industries_scar_socom_extended_mlok_handguard,Northeast Industries SCAR SOCOM Extended MLOK,4,0.26,-2,-1,,,,,,,1600
,,northeast_industries_scar_quad_rail_handguard,Northeast Industries SCAR Quad Rail Extension,3,0.3,-2,-4,,,,,,,1500
,,chillset_scar_rail_extension,Chillset SCAR Rail Extension,1,0.2,-2,-2,,,,,,,1300
,,dynamic_development_group_scar_mrex_mk2_mlok_2.2inch_handguard,"Dynamic Development Group SCAR MREX MkII MLOK 2.2""",4,0.19,-1,0,,,,,,,1250
,,dynamic_development_group_scar_mrex_mk2_mlok_4.25inch_handguard,"Dynamic Development Group SCAR MREX MkII MLOK 4.25""",3,0.23,-2,-2,,,,,,,1750
,,dynamic_development_group_scar_mrex_mk2_mlok_6.5inch_handguard,"Dynamic Development Group SCAR MREX MkII MLOK 6.5""",2,0.27,-4,-2,,,,,,,2000
,fn_scar_gas_selector,,,,,,,,,,,,,
,,edinburg_engineering_scarburator_gen3,Edinburg Engineering SCARburator Gen3,0,0.04,0,-2,,,,,,,400
,,aft_oem_gas_selector,AFT OEM,0,0.02,0,0,,,,,,,0
,scar_magwell,,,,,,,,,,,,,
,,pmm_scar_17_magwell_type1,Everetts Machining SCAR 17 Type 1,2,0.06,0,-2,,,,,,,750
,,pmm_scar_17_magwell_type2,Everetts Machining SCAR 17 Type 2,2.5,0.08,-1,,,,,,,,700
