name,pretty_name
hera_arms_cqr_gen2_stock,Eris Arms CQR Gen2
hera_arms_cqr_gen2_buttpad,Eris Arms CQR Gen2 Extendable
strauss_deltapoint_reflex_sight,Strauss DeltaPoint Reflex
strauss_deltapoint_pro_sight,Strauss DeltaPoint Pro
holotec_eflx_mini_red_dot,HOLOTEC HELX Mini Red Dot
target_sports_front_sight,Target Sports Low Profile 45 Degree
target_sports_rear_sight_folded,Target Sports Low Profile 45 Degree Folded
target_sports_front_sight_folded,Target Sports Low Profile 45 Degree Folded Folded
target_sports_rear_sight,Target Sports Low Profile 45 Degree
sig_sauer_romeo4b_sight,Sic Stürmer Romeo4B
sig_sauer_romeo4t_sight,Sic Stürmer Romeo4T
azimuth_micro_spacer_high_39mm,Azimuth Micro Spacer High 39mm
azimuth_micro_spacer_low_30mm,Azimuth Micro Spacer Low 30mm
azimuth_micro_t1_sight,Azimuth Micro T1
azimuth_micro_t2_sight,Azimuth Micro T2
azimuth_compm5_sight,Azimuth CompM5
sig_sauer_romeo5_1x20_sight,Sic Stürmer Romeo5 1x20
azimuth_micro_t2_lens_caps,Azimuth Micro T2
azimuth_t2_cordura_fabric_wrap,Azimuth Micro T-2 / H-2 Cordura Fabric Wrap
azimuth_compm5_lens_caps,Azimuth CompM5
azimuth_acro_p2_reflex_sight,Azimuth ACRO P-2 Reflex
usi_l12a1_susat_combat_optic,"United Scientific Industries L12A1 ""SUSAT"" Combat Optic"
susat_backup_sights,SUSAT
suppressors_inc_qd_asr_mount,Suppressors Inc. QD ASR Mount
suppressors_inc_omega_300_suppressor,Suppressors Inc. OMEGA 300
hetzel_zf_6x42_eye_cup,Hetzel AG ZF 6x42
holotec_vudu_1_6x24,Holotec Vudu 1-6x24
nightforce_atacr7_35x56_f1,Nightforce ATACR 7-35x56 F1
azimuth_compm2_sight,Azimuth CompM2
armytek_predator_prov3_xhp35_hi,Armytek Predator Pro v3 XHP35 HI
ultrafire_wf501b_flashlight,Ultrafire WF-501B
nariakira_inline_scout_mlok_mount,Nariakira Inline Scout MLOK
nariakira_inline_scout_picatinny_mount,Nariakira Inline Scout Picatinny
nariakira_300_series_light_body,Nariakira 300 Series
nariakira_18650_series_light_body,Nariakira 18650 Series
wepmod_plhv2_light_head,Wepmod PLHV2
centrefire_km1_e_ir_scout_light_head,Centrefire KM1-E Visible Light & IR Scout Light
nariakira_momentary_tailcap,Nariakira Momentary Tailcap
centrefire_z68_clicky_tailcap,Centrefire Z68 Clicky Tailcap
hart_retro_a1_4x21_scope,Hart Retro A1 4x21
ultracross_electro_4x20_bdc_scope,UltraCROSS Electro 4x20 BDC Turret
sc_irregulars_cap_front,AT Refine OMM Front
sc_irregulars_omm_3_slot_board_front,AT Refine OMM 3 Slot Board
sc_irregulars_omm_4_slot_board_front,AT Refine OMM 4 Slot Board
sc_irregulars_omm_6_slot_board_front,AT Refine OMM 6 Slot Board
sc_irregulars_omm_8_slot_board_front,AT Refine OMM 8 Slot Board
sc_irregulars_cap_rear,AT Refine OMM Rear
sc_irregulars_omm_3_slot_board_rear,AT Refine OMM 3 Slot Board
sc_irregulars_omm_4_slot_board_rear,AT Refine OMM 4 Slot Board
sc_irregulars_omm_6_slot_board_rear,AT Refine OMM 6 Slot Board
sc_irregulars_omm_8_slot_board_rear,AT Refine OMM 8 Slot Board
jp_enterprises_5b_gasblock,JP Enterprises 5B
axtell_defense_mk12_low_profile_gasblock,Axtell Defense MK12 Low Profile
windsor_armory_railed_ar15_gasblock,Windsor Armory AR-15 Railed
hart_m4fs_gasblock,Hart M4 Standard
freedom_arms_builder_series_gen1_10inch_handguard,"Freedom Arms Builder Series Gen 1 10"""
freedom_arms_builder_series_gen1_12inch_handguard,"Freedom Arms Builder Series Gen 1 12"""
freedom_arms_builder_series_gen1_15inch_handguard,"Freedom Arms Builder Series Gen 1 15"""
freedom_arms_builder_series_gen1_7inch_handguard,"Freedom Arms Builder Series Gen 1 7"""
usgi_m16a1_triangle_handguard,USGI M16A1 Triangle
pac_urx_4_mlok_10.75inch_handguard,"PAC URX 4 MLOK 10.75"""
dd_m4a1_fsp_ris_2_12.25_handguard,AD M4A1 FSP RIS II 12.25
dd_m4a1_ris_2_12.25_handguard,AD M4A1 RIS II 12.25
dd_mk18_fsp_ris_2_9.55_handguard,AD MK18 FSP RIS II 9.55
dd_mk18_ris_2_9.55_handguard,AD Mk18 RIS II 9.55
pac_ras_m4a1_handguard,PAC RAS
schmidt_smr_mk16_mlok_urg_i_13.5inch,"Schmidt Super Modular Rail MK16 M-LOK URG-I 13.5"""
schmidt_smr_mk16_mlok_urg_i_15inch,"Schmidt Super Modular Rail MK16 M-LOK URG-I 15"""
schmidt_smr_mk16_mlok_urg_i_9.3inch,"Schmidt Super Modular Rail MK16 M-LOK URG-I 9.3"""
pac_m5_ras_lower_handguard,"PAC M5 RAS 11.5"" Lower"
pac_m5_ras_upper_handguard,"PAC M5 RAS 11.5"" Upper"
pac_mre_free_float_ras_rifle_12inch_handguard,"PAC MRE RAS Free Float 12"""
pac_mre_standard_front_filler_tube,PAC MRE Standard Front Filler Tube
pac_mre_railed_front_filler_tube,PAC MRE Railed Front Filler Tube
pac_free_float_ras_rifle_12inch_handguard,"PAC Free Float RAS Rifle 12"""
pac_free_float_ras_medium_long_10.375inch_handguard,"PAC Free Float RAS Medium Long 10.375"""
pac_free_float_ras_carbine_7inch_handguard,"PAC Free Float RAS Carbine 7"""
calsport_lvoa_s_13.5inch_handguard,"Cal Sport LVOA-S 13.5"""
calsport_lvoa_c_16.25inch_handguard,"Cal Sport LVOA-C 16.25"""
monstrum_tactical_a_series_free_float_10inch_mlok_handguard,"Monstrum Tactical A Series Free Float 10"" MLOK"
monstrum_tactical_a_series_free_float_12inch_mlok_handguard,"Monstrum Tactical A Series Free Float 12"" MLOK"
monstrum_tactical_a_series_free_float_15inch_mlok_handguard,"Monstrum Tactical A Series Free Float 15"" MLOK"
monstrum_tactical_a_series_free_float_16.5inch_mlok_handguard,"Monstrum Tactical A Series Free Float 16.5"" MLOK"
quix_tacticals_ar15_4inch_ultralight_mlok_freefloat_hg,"Quix Tacticals AR-15 Ultralight MLOK 4"""
mk10_rl_handguard,MK10RL
magtap_moe_sl_carbine_handguard,Magtap MOE SL Carbine-Length
magtap_moe_sl_mid_handguard,Magtap MOE SL Mid-Length
sai_ar15_qd_10inch_handguard,"SAI AR-15 10"" QD"
sai_ar15_qd_14.5inch_handguard,"SAI AR-15 14.5"" QD"
stngr_lvnc_10i,"STRYKR Lvnc 10"""
stngr_hwk_15i,"STRYKR Hkw 15"""
hart_a2_std_rifle_plastic_handguard,Hart M16A2 Rifle Length Plastic
schmidt_smr_mk16_mlok_urg_i_10.5inch,"Schmidt Super Modular Rail MK16 M-LOK URG-I 10.5"""
schmidt_smr_mk4_federal_mlok_10inch,"Schmidt Super Modular Rail MK4 Federal M-LOK 10"""
pac_urx_6_mlok_13inch_handguard,"PAC URX 6 MLOK 13"""
pac_urx_4_mlok_8.5inch_handguard,"PAC URX 4 MLOK 8.5"""
pac_urx_4_mlok_13inch_handguard,"PAC URX 4 MLOK 13"""
pac_urx_4_mlok_14.5inch_handguard,"PAC URX 4 MLOK 14.5"""
hart_m4_std_carbine_plastic_handguard,Hart M4 Standard Carbine Length Plastic
aeroknox_ax15_10.5inch_handguard,"Arrow AX // 15 AR-15 10.5"""
ardian_weapons_ar15_model_1_m1curgh_10inch_handguard,"Ardian Weapons AR-15 Model 1 M1CURGH 10"""
nowa_n4_nsr_gen3_handguard_9.15inch,"Nowa N4 NSR Gen3 AR-15 9.15"""
northeast_industries_supp_series_sp7m_mlok_handguard,"Northeast Industries Suppressor Series SP7M MLOK 7.25"""
northeast_industries_supp_series_sp9m_mlok_handguard,"Northeast Industries Suppressor Series SP9M MLOK 9.25"""
northeast_industries_supp_series_sp10m_mlok_handguard,"Northeast Industries Suppressor Series SP10M MLOK 10.5"""
northeast_industries_supp_series_sp12m_mlok_handguard,"Northeast Industries Suppressor Series SP12M MLOK 12.625"""
northeast_industries_supp_series_sp15m_mlok_handguard,"Northeast Industries Suppressor Series SP15M MLOK 15"""
northeast_industries_supp_series_sp18m_mlok_handguard,"Northeast Industries Suppressor Series SP18M MLOK 18"""
hart_607_car15_triangle_7inch_handguard,"Hart 607 CAR-15 Triangle 7"""
taclite_mrac_gen2_mounting_coupler,TACLITE M-RAC Gen2
taclite_mrac_gen3_mounting_coupler,TACLITE M-RAC Gen3
taclite_urac_gen2_mounting_coupler,TACLITE U-RAC Gen2
taclite_urac_gen3_mounting_coupler,TACLITE U-RAC Gen3
taclite_rac_gen2_6inch_suppressor_shield,"TACLITE M-RAC Gen2 6"" Suppressor Shield"
taclite_rac_gen2_7inch_suppressor_shield,"TACLITE M-RAC Gen2 7"" Suppressor Shield"
taclite_rac_gen3_6inch_suppressor_shield,"TACLITE M-RAC Gen3 6"" Suppressor Shield"
taclite_rac_gen3_7inch_suppressor_shield,"TACLITE M-RAC Gen3 7"" Suppressor Shield"
taclite_urac_picatinny_coupler_mount,TACLITE U-RAC Picatinny Coupler
taclite_urac_top_front_ironsight,TACLITE U-RAC Top Front
taclite_urac_top_front_ironsight_folded,TACLITE U-RAC Top Front Folded
taclite_urac_ironsight_mount,TACLITE U-RAC
taclite_urac_flag_mount,TACLITE U-RAC Flag
taclite_mrac_low_profile_mounting_plates,TACLITE M-RAC Low Profile
taclite_mrac_picatinny_rail_mounting_plates,TACLITE M-RAC Picatinny Rail
sb_tactical_vector_brace,SB Tactical Vector Brace
starsurp_starsurp_apex_m4_socom_gen4_stock,StarSurp APEX M4 SOCOM Gen4
kf_416_enhanced_buffer_tube,KF416 Enhanced
si_ar_are_t7_buffer_tube,Smite Industries Advanced Receiver Extension T7
hart_buffer_tube,Hart
hart_m4a1_castlenut,Hart M4A1 Castle Nut
hart_m4a1_castlenut_for_all,Hart M4A1 Castle Nut
hart_m4a1_castlenut_hk,Hart M4A1 Castle Nut
mcs_lss_stock_adapter,MCS LSS Fixed
leopard_atg_model_15_fixed_a2_ar15_stock,ATG A2 fixed stock
kf_416d_castlenut,KF416D
kf_416a5_extended_castlenut,KF416A5 Extended
magtap_ubr_gen2_buffer,Magtap UBR GEN2
hart_a2_buffer,Hart A2
ews_bufferless_system_ar15_castlenut,EWS Bufferless System AR-15
strikon_scr_wooden_rifle_stock,STRIKON SCR Wooden Rifle
strikon_scr_high_impact_polymer_stock,STRIKON SCR High Impact Polymer
strikon_scr_rubber_buttpad,STRIKON SCR Rubber
combat_arms_rack_charging_handle,Combat arms rack
bravo_comp_gunfighter_charging_handle,Bravo Company GUNFIGHTER
diemaco_c7_ambi_charging_handle,Diemaco C7 Ambi
hera_arms_straight_pull_charging_handle,Eris Arms Straight Pull
ardian_weapons_raptor_ambi_ar15_charging_handle,Ardian Weapons Raptor Ambidextrous
tc_enforcer_small_charging_handle,Lumber River Enforcer Small
tc_enforcer_charging_handle,Lumber River Enforcer
tactispec_victory_charging_handle,Tactispec Victory
hart_m4a1_charging_handle,Hart M4 Standard
nowa_love_ar15_charging_handle,Nowa Love AR-15
kf_416_e1_ambi_charging_handle,KF416 E1 Ambi
hart_m4a1_receiver_endplate,Hart M4A1 Receiver Endplate
thorsden_frs15_gen3_ar15_endplate,Thorsden FRS-15 Gen3 AR-15 Endplate
aeroknox_ax15_endplate,Arrow AX // 15 AR-15 Receiver Endplate
hart_607_car15_buffer_tube,Hart 607 CAR-15
hart_607_car15_stock,Hart 607 CAR-15
troy_m7a1_pdw_base_stock,Troy M7A1 PDW Base
timber_creek_enforcer_pistol_grip,Lumber River Enforcer
tactical_dynamics_anodized_skeletonized_ar15_pistol_grip,Tactical Dynamics Anodized Skeletonized AR-15
behemoth_tacticals_featureless_grip,Behemoth tacticals featureless
hera_arms_cqr_gen1_pistol_grip_stock,CQR PGS
gral_s_pistol_grip,Gral-S
fit_deluxe_ar15_suregrip,FIT Deluxe AR-15 Suregrip
fit_deluxe_suregrip_palm_shelf,FIT Deluxe Suregrip
pmm_scar_modified_grip_rogue,Everetts Machining SCAR Modified Rogue Non-Beavertail
mcs_premier_avp_grip,MCS Premier AVP
kf_ar15_battlegrip,KF AR-15 Battlegrip
kf_ar15_battlegrip_beavertail,KF AR-15 Battlegrip Beavertail
hart_a2_pistol_grip,Hart A2
hart_a1_pistol_grip,Hart A1
hart_a1_chopped_pistol_grip,Hart A1 Chopped
thordsen_frs_15_stock,Thordsen FRS-15
magtap_moe_ar15_pistol_grip,Magtap MOE AR-15
magtap_moe_k2_ar15_pistol_grip,Magtap MOE-K2
magtap_moe_k2_scar_pistol_grip,Magtap MOE-K2 Modified
magtap_moe_scar_pistol_grip,Magtap MOE AR-15
hera_arms_cqr_gen2_pistol_grip,Eris Arms CQR Gen2
aeroknox_ax15_orion_pistol_grip,Arrow AX // 15 ORION AR-15
bcm_gunfighter_mod3_ar15_pistol_grip,BCM Gunfighter Mod 3 AR-15
pmm_bcm_gunfighter_mod3_scar_pistol_grip,Everetts Machining BCM Gunfighter Mod 3 SCAR
axtell_defense_pistol_grip_with_trigger_guard,Axtell Defense w/ Trigger Guard
hart_m4a1_std_trigger,M4 Standard
fort_worth_manufacturing_trigger,Fort Worth Manufacturing Triggers drop-in
tsa_custom_trigger,TSA custom
rise_blitz_trigger,Ascend Armament Blitz
lockwood_trigger,Lockwood drop-in
ardian_weapons_ar15_flat_vertex_fb_trigger,Ardian Weapons AR-15 Flat Vertex-FB
strikon_scr_ar15_trigger,STRIKON SCR Rifle
strikon_scr_ar15_frt_trigger,STRIKON SCR Rifle Forced-Reset
magtap_enhanced_ar15_mag1186_polymer_trigger_guard,Magtap Enhanced AR-15 MAG1186 Polymer
troy_enhanced_ar15_trigger_guard,Troy Enhanced AR-15
hart_m4a1_trigger_guard,Hart M4 standard
smite_industries_polyflex_ar15_trigger_guard,Smite Industries PolyFlex AR-15
hart_m4a1_std_upper_receiver,Hart M4 Standard
aeroknox_ax15_upper_receiver,Arrow AX // 15 AR-15
hart_m16a2_carry_handle_upper_receiver,Hart M16A2 Carry Handle
lone_star_armory_tx15_light_ar15_upper_receiver,Lone Star Armory TX-15 Light AR-15
lone_star_armory_tx15_regular_ar15_upper_receiver,Lone Star Armory TX-15 Regular AR-15
nowa_gen3_ar15_upper_receiver,Nowa N4 Gen3 AR-15
nowa_marked_vyctor_mur1s_ar15_upper_receiver,Nowa Marked VYCTOR MUR1S AR-15
vyctor_mur1s_ar15_upper_receiver,VYCTOR MUR1S AR-15
ardian_weapons_ar15_model_1_m1curgh_upper_receiver,Ardian Weapons AR-15 Model 1 M1CURGH
axtell_defense_ddm4v7_upper_receiver,Axtell Defense DDM4V7
axtell_defense_m4a1_upper_receiver,Axtell Defense M4A1
axtell_defense_mk12_upper_receiver,Axtell Defense MK12
axtell_defense_mk18_upper_receiver,Axtell Defense MK18
m4a1_std_bolt_catch,Hart M4 Standard
ardian_weapons_ar15_extended_bolt_catch,Ardian Weapons AR-15 Extended
m4a1_std_dust_cover,Hart M4 Standard
m4a1_std_fire_selector,Hart M4 Standard
strikon_scr_ar15_safety,STRIKON SCR Rifle
ardian_weapons_ar15_talon_ambi_2lever_fire_selector,Ardian Weapons AR-15 Talon Ambi 45/90 2-Lever
hart_m4a1_std_lower_receiver,Hart M4A1
strikon_scr_rifle_lower_receiver,STRIKON SCR Rifle
ardian_weapons_ax556_adac15_lower_receiver,Ardian Weapons AX556 ADAC-15
nowa_n4_gen3_ar15_lower_receiver,Nowa N4 Gen3 AR-15
aeroknox_ax15_lower_receiver,Arrow AX // 15 AR-15
axtell_defense_m4_carbine_lower_receiver,Axtell Defense M4 Carbine
m4a1_std_mag_release,Hart M4A1
ardian_weapons_adac15_mag_release,Ardian Weapons ADAC15 Mag Release
tactispec_rhino_r23_tactical_magwell,Tactispec Rhino R-23 Tactical
cosmotac_blastar_vkarmw_magwell,CosmoTac BlastAR VKARMW
hpf_concepts_rcm_ar15_milspec_magwell,HPF Concepts RCM AR-15 Milspec
m4a1_556_bolt,Hart M4 Standard
strikon_scr_rifle_bcg,STRIKON SCR Rifle BCG
ews_bufferless_system_ar15_bcg,EWS Bufferless System AR-15 BCG
ardian_weapons_ar15_enhanced_bcg,Ardian Weapons AR-15 Enhanced BCG
troy_m7a1_pdw_ar15_bcg,Troy M7A1 PDW AR-15 BCG
cmmg_ar_15_5.56x45_610mm_fluted_r_barrel,"CmmG 24"" Fluted AR-15 Rifle Length Gastube 5.56x45"
whtnls_a1_m4a1_5.56x45_508mm_govt_r_barrel,"Whitnalls A1 Government 20"" Rifle Length Gastube 5.56x45"
whtnls_m4a1_5.56x45_508mm_hbar_r_barrel,"Whitnalls HBAR 20"" Rifle Length Gastube 5.56x45"
ex_call_ar_15_.223wylde_457mm_spiral_6groove_m_barrel,"Ex-Call Custom 18"" Spiral 6 Groove Mid Length Gastube .223 Wylde"
whtnls_m4a1_5.56x45_406mm_govt_m_barrel,"Whitnalls Government 16"" Mid Length Gastube 5.56x45"
whtnls_m4a1_5.56x45_406mm_socom_c_barrel,"Whitnalls Socom 16"" Carbine Length Gastube 5.56x45"
hart_m4a1_5.56x45_368mm_socom_c_barrel,"Hart Socom 14.5"" Carbine Length Gastube 5.56x45"
hart_m4a1_5.56x45_368mm_govt_c_barrel,"Hart Government 14.5"" Carbine Length Gastube 5.56x45"
pac_ks1_5.56x45_348mm_heavy_dimpled_m_barrel,"PAC KS-1 (L403A1) Heavy Dimpled 13.7"" Mid Length Gastube 5.56x45"
hart_m4a1_5.56x45_317mm_govt_c_barrel,"Hart Government 12.5"" Carbine Length Gastube 5.56x45"
primabarrels_ar15_modern_series_5.56x45_292mm_govt_c_barrel,"PrimaBarrels Modern Series Government 11.5"" Carbine Length Gastube 5.56x45"
hart_m4a1_5.56x45_267mm_govt_c_barrel,"Hart Government 10.5"" Carbine Length Gastube 5.56x45"
hart_m4a1_5.56x45_190mm_govt_p_barrel,"Hart Government 7.5"" Pistol Length Gastube 5.56x45"
quix_tacticals_ar15_127mm_5.56_nitride_barrel_custom_gastube,"Quix Tacticals AR-15 Nitride 5"" Custom Length Gastube 5.56x45"
custom_2inch_ar15_barrel,"Custom 2"" AR-15 5.56x45"
target_sports_mt026_mount,Target Sports MT026 Tri-Rail
diemaco_tri_ad_i_mount,Diemaco TRI-AD I
hart_m4a1_front_side_sling_swivel,Hart Front Side Sling Swivel
fit_m4_forward_picatinny_rail,FIT M4 Forward Picatinny
windsor_armory_sling_swivel,Windsor Armory Sling
magtap_223_mag_assist_misc2,Magtap 223
magtap_223_mag_assist_misc1,Magtap 223
magtap_223_mag_assist_misc3,Magtap 223
magtap_223_mag_assist_pmag,Magtap 223
magtap_223_mag_assist_straightstanag,Magtap 223
pro_tactical_upr_16_4_bottom,P.R.O Tactical UPR 16/4 Picatinny Rail
cosmotac_marsv2_bottom,CosmoTac MARSV2 Picatinny Rail
pro_tactical_upr_16_4_top,P.R.O Tactical UPR 16/4 Picatinny Rail
cosmotac_marsv2_top,CosmoTac MARSV2 Picatinny Rail
cmmg_mk9_upper_receiver,CmmG MK9
cmmg_mk9_lower_receiver,CmmG MK9
aeroknox_ax15_lower_receiver_ar9,Arrow AX // 15 AR-15
hart_m4a1_std_lower_receiver_ar9,Hart M4A1
axtell_defense_m4_carbine_lower_receiver_ar9,Axtell Defense M4 Carbine
nowa_n4_gen3_ar15_lower_receiver_ar9,Nowa N4 Gen3 AR-15
cmmg_mk9_dust_cover,CmmG MK9
ar9_bolt,CmmG MK9
bnb_value_line_light_tapered_melonite_ar9_76mm_9x19_barrel,"KAK Value Line Light Tapered Melonite AR9 3"" 9x19"
cmmg_mk9_216mm_9x19_barrel,"CmmG Mk9 8.5"" 9x19"
cmmg_mk9_229mm_9x19_barrel,"CmmG Mk9 9"" 9x19"
cmmg_mk9_406mm_9x19_c_barrel,"CmmG Mk9 16"" 9x19 Carbine Length"
cmmg_mk9_406mm_9x19_r_barrel,"CmmG Mk9 16"" 9x19 Rifle Length"
cmmg_mk9_406mm_9x19_m_barrel,"CmmG Mk9 16"" 9x19 Mid Length"
cmmg_mk9_127mm_9x19_barrel,"CmmG Mk9 5"" 9x19"
aft_rear_sight,AFT Standard
aft_rear_sight_folded,AFT Standard Folded
aft_rear_sight_600m_aperture,AFT 600m Aperture
aft_rear_sight_200m_aperture,AFT 200m Aperture
aft_mk20_gas_block,AFT Mk20
aft_mk_17_gasblock,AFT MK-17 Standard
hi_dog_hdd_tactical_scarh_hitorque_gasblock,Hi-Dog HDD Tactical SCAR-H HI-TORQUE
aft_front_sight_base,AFT Standard
dynamic_development_group_scar_fs_replacement_rail,Dynamic Development Group SCAR Front Sight Replacement Rail
aft_front_sight_folded,AFT Standard Folded
aft_front_sight,AFT Standard
aft_bolt_release,AFT MK-17 Standard
pmm_scar_battery_control_bolt_release,Everetts Machining SCAR Battery Control
aft_trigger,AF Tournai Standard
schmidt_super_scar_trigger,Schmidt Super SCAR
aft_mk20_bottom_rail_mount,AF Tournai Mk20
aft_bottom_rail_mount,AF Tournai
pmm_scar_heavy_duty_mlok_bottom_panel,Everetts Machining SCAR Heavy Duty MLOK Bottom Panel
aft_charging_handle,AFT MK-16 Standard
apex_bolt_handle_for_scar,Apex Bolt Handle for SCAR
dynamic_development_group_ambi_scarging_handle,Dynamic Development Group Ambi SCARGING Bolt Handle
aft_fire_selector,AFT MK-17 Standard
dynamic_development_group_talon_ambi_scar_45_90_safety_selector,Dynamic Development Group Talon Ambi SCAR 45/90
aft_mk20_508mm_barrel,AFT Mk20 508mm
barreltech_scar20_spiral_508mm_threaded_barrel,"Barreltech AFT 20 Spiral 20"" Threaded"
aft_mk_17_508mm_barrel,AFT MK-17 508mm
barreltech_scar20_spiral_406mm_threaded_barrel,"Barreltech AFT 20 Spiral 16"" Threaded"
aft_mk_17_406mm_barrel,AFT MK-17 406mm
aft_mk_17_330mm_barrel,AFT MK-17 330mm
hi_dog_hdd_tactical_scarh_267mm_7.62x51_barrel,Hi-Dog HDD Tactical SCAR-H 7.62x51 267mm
aft_mk_17_bolt_carrier,AFT MK-17 Bolt
monarch_ballistics_buffered_scar_bolt_carrier,Monarch Ballistics Buffered SCAR
cartesia_productions_scar_h_x17_trigger_module_lower_receiver,Cartesia Productions X-17 SCAR-H Trigger Module
aft_mk_17_lower_receiver,AF Tournai-H Standard
lingle_industries_ar17_scar_h_lower,Lingle Industries AR17 SCAR-H Lower
m4a1_std_mag_release_scar,Hart M4A1
aft_mk_17_upper_receiver,AFT MK-17 Standard
aft_mk20_upper_receiver,AFT Mk20
monarch_ballistics_cypher_x_standard_scar_h_upper_receiver,Monarch Ballistics CypherX Standard SCAR-H
aft_mk_16_254mm_barrel,AFT MK-16 254mm
aft_mk_16_355mm_barrel,AFT MK-16 355mm
aft_mk_16_457mm_barrel,AFT MK-16 457mm
aft_mk_16_bolt_carrier,AFT MK-16 Bolt
aft_mk_16_gasblock,AFT MK-16 Standard
aft_mk_16_lower_receiver,AF Tournai-L Standard
aft_mk_16_std_magplate,AF Tournai Mag
aft_mk_16_upper_receiver,AFT MK-16 Standard
aft_mag_release,AFT MK-17 Standard
pmm_scar_oversized_mag_release_button,Everetts Machining SCAR Oversized Button
aft_side_rail_1,AF Tournai
aft_mk20_side_rail_2,AF Tournai Mk20
aft_mk20_side_rail_1,AF Tournai Mk20
aft_side_rail_2,AF Tournai
aft_stock_cheek_piece,AFT
aft_stock_connector,AFT
aft_ssr_stock_assembly,AFT SSR
dynamic_development_group_sas_acr_stock_scar_adapter,Dynamic Development Group SAS Adaptive ACR
mesa_tactical_faro_scar_buffer_tube_adapter,Canyon Tactical FARO SCAR Buffer Tube
aft_sc_stock_adapter,AFT SC Rear
aft_sc_stock_adjustment_lever,AFT SC Stock
aft_sc_stock_cheekpad,AFT SC Stock
aft_sc_stock_buttpad,AFT SC Stock
aft_sc_stock_adjustment_rail,AFT SC
aft_stock_shoulder_piece,AFT
hilt_defense_scar47_394mm_barrel,HILT DEFENSE SCAR 47 394mm
scar47_lower_receiver,HILT DEFENSE SCAR 47
scar47_mag_release,HILT DEFENSE SCAR 47
scar47_pistol_grip,HILT DEFENSE SCAR 47
aft_mk_17_upper_receiver_for_scar47,AFT MK-17 Standard
aft_mk20_upper_receiver_for_scar47,AFT Mk20
monarch_ballistics_cypher_x_standard_scar_h_upper_receiver_for_scar47,Monarch Ballistics CypherX Standard SCAR-H
hilt_defense_scar47_mlok_handguard,Hilt Defense SCAR47 MLOK
pmm_scar_mlok_xl_rail_extension_mre_xl,Everetts Machining SCAR MLOK XL Rail Extension (MRE XL)
madbull_pws_srx_5inch_rail_handguard,"Madbull PWS SRX 5"""
dynamic_development_group_scar_mrex_mlok_6.5inch_gen1_handguard,"Dynamic Development Group SCAR MREX MLOK 6.5"" Gen 1"
northeast_industries_scar_socom_extended_mlok_handguard,Northeast Industries SCAR SOCOM Extended MLOK
northeast_industries_scar_quad_rail_handguard,Northeast Industries SCAR Quad Rail Extension
chillset_scar_rail_extension,Chillset SCAR Rail Extension
dynamic_development_group_scar_mrex_mk2_mlok_2.2inch_handguard,"Dynamic Development Group SCAR MREX MkII MLOK 2.2"""
dynamic_development_group_scar_mrex_mk2_mlok_4.25inch_handguard,"Dynamic Development Group SCAR MREX MkII MLOK 4.25"""
dynamic_development_group_scar_mrex_mk2_mlok_6.5inch_handguard,"Dynamic Development Group SCAR MREX MkII MLOK 6.5"""
edinburg_engineering_scarburator_gen3,Edinburg Engineering SCARburator Gen3
aft_oem_gas_selector,AFT OEM
pmm_scar_17_magwell_type1,Everetts Machining SCAR 17 Type 1
pmm_scar_17_magwell_type2,Everetts Machining SCAR 17 Type 2
pmm_scar_16_magwell,Everetts Machining SCAR 16
kriss_vector_gen2_folding_stock,KALIS Scalar Gen2
kriss_vector_non_folding_stock_adapter,KALIS Scalar Non-Folding Stock Adapter
vector_9mm_upper_receiver,KALIS Scalar 9mm
vector_45acp_upper_receiver,KALIS Scalar .45ACP
vector_std_trigger,KALIS Scalar Std.
vector_right_rail,KALIS Scalar Std.
vector_std_mag_eject,KALIS Scalar Std.
vector_lower_receiver,KALIS Scalar Gen2
vector_left_rail,KALIS Scalar Std.
vector_mk5_side_rail,Vector Mk5 Side Rail
mlok_spot,Mlok Attach Point
vector_mk1_modular_rail,KALIS Scalar Mk1 Modular
vector_mk5_mlok_rail,Vector Mk5 M-Lok ModularRail
vector_round_shroud_mk1_11inch_modular,"Vector Mk.1 Round Shroud 11"" Modular"
vector_round_shroud_mk1_9inch_modular,"Vector Mk.1 Round Shroud 9"" Modular"
vector_charging_handle,KALIS Scalar Std.
vector_bottom_rail,KALIS Scalar Std.
vector_bolt_release,KALIS Scalar Std.
vector_9mm_bolt,KALIS Scalar .45ACP
vector_45acp_bolt,KALIS Scalar .45ACP
vector_9mm_170mm_barrel,KALIS Scalar 9x19 170mm
vector_9mm_140mm_barrel,KALIS Scalar 9x19 140mm
vector_45acp_170mm_barrel,KALIS Scalar .45ACP 170mm
vector_45acp_140mm_barrel,KALIS Scalar .45ACP 140mm
pf940_std_13r_vector_remodel,STD 13R .45 ACP
5.56x45_magtap_pmag_60r,Magtap PMAG D60 60R Drum
5.56x45_x15m_drum_50r,X-15M Drum
5.56x45_magtap_pmag_m3_10r,Magtap PMAG M3 5.56x45 10R
5.56x45_magtap_pmag_m3_20r,Magtap PMAG M3 5.56x45 20R
5.56x45_hart_ar15_stanag_30r,Hart STANAG AR-15 30R
5.56x45_whtnls_stanag_25r,Whitnalls STANAG Mag 5.56x45 25R
5.56x45_whtnls_stanag_ss_20r,Whitnalls STANAG SS Mag 5.56x45 20R
5.56x45_magtap_pmag_m3_windowed_30r,Magtap PMAG M3 5.56x45 Windowed 30R
